"contrast","estimate","SE","df","t.ratio","p.value"
"Acc_B_1 - Acc_B_2",0.00140417855107256,0.000358553179209886,1199.79096654117,3.91623511515597,0.00375903814816836
"Acc_B_1 - Acc_B_3",0.000687194957171618,0.000437480203573939,812.862676882483,1.57080240787507,0.861952914728087
"Acc_B_1 - Acc_Ku_1",0.00196672886679663,0.000439369936444423,989.927765335725,4.47624815369089,0.000360326533317856
"Acc_B_1 - Acc_Ku_2",0.00137406912311032,0.000392562948262706,1234.70084918881,3.50025169005705,0.0172901511663575
"Acc_B_1 - Aci_B_1",-0.00131443724209634,0.00035632496283729,1226.8651244573,-3.68887217900745,0.00887510603357933
"Acc_B_1 - Aci_B_2",-0.000262881133595458,0.000357627787883668,1144.46635368,-0.735069092788086,0.999281054631583
"Acc_B_1 - Ack_Ka_1",0.0014740327878876,0.00037952354529974,1147.16499202589,3.88390339978362,0.00427267447624646
"Acc_B_1 - Ack_Ka_2",0.00122508275135467,0.000371357975525,1198.58872359544,3.29892672864434,0.0335840174905759
"Acc_B_1 - Ack_Ka_3",0.00158304466038236,0.000390256247767433,1193.46926055005,4.05642361765787,0.00214874331864823
"Acc_B_2 - Acc_B_3",-0.000716983593900947,0.000294312786586111,545.744012783952,-2.43612791077689,0.306444870467184
"Acc_B_2 - Acc_Ku_1",0.000562550315724066,0.000297114504661357,845.073124980024,1.89337883845571,0.673659666324134
"Acc_B_2 - Acc_Ku_2",-3.01094279622485e-05,0.000222118788439194,1455.74576529821,-0.135555520421412,0.999999999718588
"Acc_B_2 - Aci_B_1",-0.00271861579316891,0.000148991835246041,1609.14009018719,-18.2467434452328,0
"Acc_B_2 - Aci_B_2",-0.00166705968466802,0.000152081302254924,1232.35777273709,-10.9616347305709,0
"Acc_B_2 - Ack_Ka_1",6.98542368150312e-05,0.00019816460144504,1206.14357527142,0.352506130285862,0.999998606025988
"Acc_B_2 - Ack_Ka_2",-0.000179095799717891,0.000182038001019056,1424.2967657719,-0.983837433477107,0.993156416458697
"Acc_B_2 - Ack_Ka_3",0.000178866109309793,0.000218016115804551,1343.04388356144,0.82042608937288,0.998280986526336
"Acc_B_3 - Acc_Ku_1",0.00127953390962501,0.000388723005593625,590.509463312302,3.29163412304609,0.0351401980059595
"Acc_B_3 - Acc_Ku_2",0.000686874165938698,0.000334910887215202,683.533909821269,2.05091620535267,0.563094432131433
"Acc_B_3 - Aci_B_1",-0.00200163219926796,0.000291594089733591,558.20293193067,-6.86444708497594,1.25553689667157e-09
"Acc_B_3 - Aci_B_2",-0.000950076090767076,0.000293184700646421,503.310121098398,-3.24053775204615,0.0414344085346577
"Acc_B_3 - Ack_Ka_1",0.000786837830715978,0.000319527393917094,573.442918174555,2.4625050799874,0.291252050601433
"Acc_B_3 - Ack_Ka_2",0.000537887794183055,0.000309784408924322,587.956270947837,1.73632945586508,0.774274061822427
"Acc_B_3 - Ack_Ka_3",0.000895849703210739,0.000332204113382242,641.444356130265,2.6966845596519,0.177118072536944
"Acc_Ku_1 - Acc_Ku_2",-0.000592659743686314,0.000337375628798755,958.835431847065,-1.7566762181267,0.762228687585095
"Acc_Ku_1 - Aci_B_1",-0.00328116610889297,0.000294421680077476,871.69646218428,-11.1444446211622,1.53654866608122e-13
"Acc_Ku_1 - Aci_B_2",-0.00222961000039209,0.000295997096649973,779.970791676075,-7.53254010132634,0
"Acc_Ku_1 - Ack_Ka_1",-0.000492696078909035,0.000322109869447571,832.245508272496,-1.52959013567024,0.880125447180007
"Acc_Ku_1 - Ack_Ka_2",-0.000741646115441957,0.000312447423648642,873.769510564024,-2.37366692540235,0.343026421126571
"Acc_Ku_1 - Ack_Ka_3",-0.000383684206414273,0.000334688788996828,905.742225535536,-1.1463909728327,0.979670336660889
"Acc_Ku_2 - Aci_B_1",-0.00268850636520666,0.000218503668154965,1519.64243733583,-12.3041703963521,0
"Acc_Ku_2 - Aci_B_2",-0.00163695025670577,0.000220621867734695,1324.7773780421,-7.41970990234867,9.00046703833368e-12
"Acc_Ku_2 - Ack_Ka_1",9.99636647772797e-05,0.000254586911079622,1286.35353042951,0.392650448341455,0.999996420568748
"Acc_Ku_2 - Ack_Ka_2",-0.000148986371755643,0.000242245990353206,1415.86396852065,-0.615021002157408,0.999833762754204
"Acc_Ku_2 - Ack_Ka_3",0.000208975537272041,0.000270326307964458,1364.98672007278,0.773049204295413,0.998925525689941
"Aci_B_1 - Aci_B_2",0.00105155610850088,0.000146750875006022,1390.11744974159,7.16558663420394,5.52656809205132e-11
"Aci_B_1 - Ack_Ka_1",0.00278847002998394,0.000194103853865273,1297.22590636197,14.3658663877916,0
"Aci_B_1 - Ack_Ka_2",0.00253951999345102,0.000177608926111537,1522.28090256995,14.2983804308136,0
"Aci_B_1 - Ack_Ka_3",0.0028974819024787,0.000214331807182189,1417.52950714028,13.5186743422349,0
"Aci_B_2 - Ack_Ka_1",0.00173691392148305,0.000196485270722569,1026.38792244918,8.83991922191218,2.6434410216325e-13
"Aci_B_2 - Ack_Ka_2",0.00148796388495013,0.000180208451966226,1217.88503745273,8.25690398377653,4.41535696893425e-13
"Aci_B_2 - Ack_Ka_3",0.00184592579397781,0.000216490829125746,1195.32893335132,8.52657732169168,3.1863400806742e-14
"Ack_Ka_1 - Ack_Ka_2",-0.000248950036532922,0.000220489394144892,1201.51341779858,-1.12907941671484,0.981718600203558
"Ack_Ka_1 - Ack_Ka_3",0.000109011872494761,0.000251015469375636,1188.48591580089,0.434283483667011,0.999991395673624
"Ack_Ka_2 - Ack_Ka_3",0.000357961909027684,0.000238489811973202,1317.13777483193,1.50095262378716,0.892004195454555
