"Lineage","Location","Colony","Bee ID","Slope","Range"
"A. indica","Bangalore","1","BAI","0.0044
[0.0037 - 0.0052]","100 - 450"
"A. indica","Bangalore","1","BA_","0.0037
[0.002 - 0.0054]","200 - 450"
"A. indica","Bangalore","1","GA","0.0045
[0.0037 - 0.0053]","150 - 500"
"A. indica","Bangalore","1","GA_","0.0031
[0.0016 - 0.0046]","250 - 450"
"A. indica","Bangalore","1","GG","0.001
[-0.0022 - 0.0041]","400 - 500"
"A. indica","Bangalore","1","GT","0.007
[0.0043 - 0.0096]","100 - 250"
"A. indica","Bangalore","1","RR","0.005
[0.0045 - 0.0056]","50 - 450"
"A. indica","Bangalore","1","RT","0.0047
[0.0042 - 0.0053]","100 - 500"
"A. indica","Bangalore","1","RY","0.0048
[0.0042 - 0.0055]","50 - 500"
"A. indica","Bangalore","1","WB","0.0065
[0.0038 - 0.0092]","150 - 250"
"A. indica","Bangalore","1","WG","0.0079
[0.0045 - 0.0113]","100 - 200"
"A. indica","Bangalore","1","WT","0.0043
[0.002 - 0.0066]","200 - 400"
"A. indica","Bangalore","1","WW","0.0058
[0.0043 - 0.0073]","50 - 250"
"A. indica","Bangalore","1","YA","0.0045
[0.0041 - 0.0049]","100 - 500"
"A. indica","Bangalore","1","YY","0.0046
[0.0014 - 0.0077]","100 - 250"
"A. indica","Bangalore","2","B''","0.003
[0.0018 - 0.0041]","150 - 400"
"A. indica","Bangalore","2","DBT","0.005
[0.0037 - 0.0064]","300 - 500"
"A. indica","Bangalore","2","Fg!","0.0049
[0.0023 - 0.0076]","250 - 400"
"A. indica","Bangalore","2","FgA","0.0058
[0.0026 - 0.009]","300 - 450"
"A. indica","Bangalore","2","GA","0.0042
[0.003 - 0.0055]","150 - 500"
"A. indica","Bangalore","2","GG","0.0044
[0.0033 - 0.0055]","100 - 450"
"A. indica","Bangalore","2","GT","0.005
[0.0044 - 0.0057]","50 - 350"
"A. indica","Bangalore","2","GoT","0.0107
[0.0066 - 0.0148]","300 - 400"
"A. indica","Bangalore","2","PA","0.0024
[0.0017 - 0.0031]","50 - 450"
"A. indica","Bangalore","2","RYT","0.0023
[0.0002 - 0.0044]","400 - 500"
"A. indica","Bangalore","2","VT","0.003
[0.0015 - 0.0046]","250 - 500"
"A. indica","Bangalore","2","Y.","0.0017
[-0.0002 - 0.0037]","350 - 500"
"A. indica","Bangalore","2","YY","0.0043
[0.0023 - 0.0063]","400 - 500"
"A. c. cerana","Bangalore","1","BAI","0.0032
[0.0015 - 0.0048]","50 - 200"
"A. c. cerana","Bangalore","1","GT","0.0043
[0.0001 - 0.0085]","100 - 200"
"A. c. cerana","Bangalore","1","OA","0.0058
[0.0037 - 0.008]","150 - 300"
"A. c. cerana","Bangalore","1","RG","0.0027
[0.0006 - 0.0047]","50 - 200"
"A. c. cerana","Bangalore","1","RT","0.002
[-0.0021 - 0.0061]","100 - 200"
"A. c. cerana","Bangalore","1","RW","0.004
[0.0024 - 0.0055]","100 - 300"
"A. c. cerana","Bangalore","2","BB","0.0018
[0.0006 - 0.0031]","250 - 500"
"A. c. cerana","Bangalore","2","BT","0.0021
[0.0014 - 0.0028]","150 - 500"
"A. c. cerana","Bangalore","2","RA","0.002
[0.0015 - 0.0025]","150 - 500"
"A. c. cerana","Bangalore","2","RT","0.0026
[0.0014 - 0.0037]","150 - 400"
"A. c. cerana","Bangalore","2","RW","0.0026
[0.0011 - 0.0041]","150 - 350"
"A. c. cerana","Bangalore","2","RWA","0.0019
[-0.0004 - 0.0041]","300 - 450"
"A. c. cerana","Bangalore","2","WA","0.0027
[0.0016 - 0.0037]","150 - 400"
"A. c. cerana","Bangalore","2","WR","0.0004
[-0.0013 - 0.0022]","250 - 500"
"A. c. cerana","Bangalore","2","YA","0.0022
[0.001 - 0.0034]","150 - 350"
