"lineage","location","colonyID","n_bee"
"Apis cerana cerana","Bangalore","Colony_1",15
"Apis cerana cerana","Bangalore","Colony_2",44
"Apis cerana cerana","Bangalore","Colony_3",17
"Apis cerana cerana","Kullu","Colony_1",28
"Apis cerana cerana","Kullu","Colony_2",28
"Apis cerana indica","Bangalore","Colony_1",28
"Apis cerana indica","Bangalore","Colony_2",68
"Apis cerana kashmirensis","Kashmir","Colony_1",15
"Apis cerana kashmirensis","Kashmir","Colony_2",29
"Apis cerana kashmirensis","Kashmir","Colony_3",19
