Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana cerana,Colony_2,50,DBA,1,1,33272,33292,20,0.33898305,19.5,0.330508474
Apis cerana cerana,Colony_2,50,DBA,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,DBA,1,2,33676,33695,19,0.322033898,,
Apis cerana cerana,Colony_2,50,DBT_,1,1,28613,28650,37,0.627118643,26.5,0.449152541
Apis cerana cerana,Colony_2,50,DBT_,1,2,28722,28751,29,0.491525423,,
Apis cerana cerana,Colony_2,50,DBT_,1,3,28822,28837,15,0.254237288,,
Apis cerana cerana,Colony_2,50,DBT_,1,4,28909,28926,17,0.288135593,,
Apis cerana cerana,Colony_2,50,DBT_,1,5,28974,28992,18,0.305084745,,
Apis cerana cerana,Colony_2,50,DBT_,1,6,29058,29083,25,0.423728813,,
Apis cerana cerana,Colony_2,50,DBT_,1,7,29151,29181,30,0.508474575,,
Apis cerana cerana,Colony_2,50,DBT_,1,8,29243,29284,41,0.694915253,,
Apis cerana cerana,Colony_2,50,DBT_,2,1,29679,29703,24,0.40677966,19.92857143,0.337772396
Apis cerana cerana,Colony_2,50,DBT_,2,2,29775,29788,13,0.220338983,,
Apis cerana cerana,Colony_2,50,DBT_,2,3,29855,29875,20,0.33898305,,
Apis cerana cerana,Colony_2,50,DBT_,2,4,29941,29957,16,0.27118644,,
Apis cerana cerana,Colony_2,50,DBT_,2,5,30037,30050,13,0.220338983,,
Apis cerana cerana,Colony_2,50,DBT_,2,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,DBT_,2,6,30251,30277,26,0.440677965,,
Apis cerana cerana,Colony_2,50,DBT_,2,7,30350,30371,21,0.355932203,,
Apis cerana cerana,Colony_2,50,DBT_,2,8,30444,30473,29,0.491525423,,
Apis cerana cerana,Colony_2,50,DBT_,2,9,30536,30559,23,0.389830508,,
Apis cerana cerana,Colony_2,50,DBT_,2,10,30626,30640,14,0.237288135,,
Apis cerana cerana,Colony_2,50,DBT_,2,11,30720,30739,19,0.322033898,,
Apis cerana cerana,Colony_2,50,DBT_,2,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,DBT_,2,12,31045,31066,21,0.355932203,,
Apis cerana cerana,Colony_2,50,DBT_,2,13,31118,31145,27,0.457627118,,
Apis cerana cerana,Colony_2,50,DBT_,2,14,31259,31272,13,0.220338983,,
Apis cerana cerana,Colony_2,50,GA,1,1,1289,1307,18,0.305084745,18,0.305084745
Apis cerana cerana,Colony_2,50,GT,1,1,9927,9944,17,0.288135593,20.66666667,0.350282485
Apis cerana cerana,Colony_2,50,GT,1,2,10017,10039,22,0.372881355,,
Apis cerana cerana,Colony_2,50,GT,1,3,10117,10147,30,0.508474575,,
Apis cerana cerana,Colony_2,50,GT,1,4,10213,10236,23,0.389830508,,
Apis cerana cerana,Colony_2,50,GT,1,5,10380,10394,14,0.237288135,,
Apis cerana cerana,Colony_2,50,GT,1,6,10449,10467,18,0.305084745,,
Apis cerana cerana,Colony_2,50,LBT,1,1,15562,15587,25,0.423728813,21.57142857,0.365617433
Apis cerana cerana,Colony_2,50,LBT,1,2,15658,15678,20,0.33898305,,
Apis cerana cerana,Colony_2,50,LBT,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,LBT,1,3,15914,15931,17,0.288135593,,
Apis cerana cerana,Colony_2,50,LBT,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,LBT,1,4,16244,16254,10,0.169491525,,
Apis cerana cerana,Colony_2,50,LBT,1,5,16386,16401,15,0.254237288,,
