Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana cerana,Colony_3,100,FgR,1,1,4783,4842,59,1,20.86666667,0.353672316
Apis cerana cerana,Colony_3,100,FgR,1,2,4992,5007,15,0.25,,
Apis cerana cerana,Colony_3,100,FgR,1,3,5119,5140,21,0.36,,
Apis cerana cerana,Colony_3,100,FgR,1,4,5225,5250,25,0.42,,
Apis cerana cerana,Colony_3,100,FgR,1,5,5401,5424,23,0.39,,
Apis cerana cerana,Colony_3,100,FgR,1,6,5508,5526,18,0.31,,
Apis cerana cerana,Colony_3,100,FgR,1,7,5629,5651,22,0.37,,
Apis cerana cerana,Colony_3,100,FgR,1,8,5735,5754,19,0.32,,
Apis cerana cerana,Colony_3,100,FgR,1,9,5835,5859,24,0.41,,
Apis cerana cerana,Colony_3,100,FgR,1,10,5952,5973,21,0.36,,
Apis cerana cerana,Colony_3,100,FgR,1,11,6058,6068,10,0.17,,
Apis cerana cerana,Colony_3,100,FgR,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,FgR,1,12,6240,6252,12,0.2,,
Apis cerana cerana,Colony_3,100,FgR,1,13,6345,6361,16,0.27,,
Apis cerana cerana,Colony_3,100,FgR,1,14,6450,6462,12,0.2,,
Apis cerana cerana,Colony_3,100,FgR,1,15,6540,6556,16,0.27,,
Apis cerana cerana,Colony_3,100,FgR,2,1,35511,35555,44,0.75,28.4,0.481355931
Apis cerana cerana,Colony_3,100,FgR,2,2,35610,35635,25,0.42,,
Apis cerana cerana,Colony_3,100,FgR,2,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,FgR,2,3,35922,35948,26,0.44,,
Apis cerana cerana,Colony_3,100,FgR,2,4,36038,36056,18,0.31,,
Apis cerana cerana,Colony_3,100,FgR,2,5,36222,36251,29,0.49,,
Apis cerana cerana,Colony_3,100,GT,1,1,21389,21439,50,0.85,48.5,0.822033896
Apis cerana cerana,Colony_3,100,GT,1,2,21579,21626,47,0.8,,
Apis cerana cerana,Colony_3,100,GT,2,1,4791,4814,23,0.39,23,0.389830508
Apis cerana cerana,Colony_3,100,GT,3,1,37531,37567,36,0.61,26,0.440677965
Apis cerana cerana,Colony_3,100,GT,3,2,37655,37671,16,0.27,,
Apis cerana cerana,Colony_3,100,GT,4,1,6919,6960,41,0.69,22,0.372881355
Apis cerana cerana,Colony_3,100,GT,4,2,7021,7038,17,0.29,,
Apis cerana cerana,Colony_3,100,GT,4,3,7112,7132,20,0.34,,
Apis cerana cerana,Colony_3,100,GT,4,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,GT,4,4,7448,7471,23,0.39,,
Apis cerana cerana,Colony_3,100,GT,4,5,7539,7550,11,0.19,,
Apis cerana cerana,Colony_3,100,GT,4,6,7637,7656,19,0.32,,
Apis cerana cerana,Colony_3,100,GT,4,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,GT,4,7,7820,7845,25,0.42,,
Apis cerana cerana,Colony_3,100,GT,4,8,7924,7945,21,0.36,,
Apis cerana cerana,Colony_3,100,GT,4,9,8015,8036,21,0.36,,
Apis cerana cerana,Colony_3,100,GT,5,1,17229,17259,30,0.51,33,0.559322033
Apis cerana cerana,Colony_3,100,GT,5,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,GT,5,2,17790,17826,36,0.61,,
Apis cerana cerana,Colony_3,100,GT,6,1,4682,4722,40,0.68,40,0.6779661
Apis cerana cerana,Colony_3,100,PT,1,1,30158,30173,15,0.25,18.7,0.316949152
Apis cerana cerana,Colony_3,100,PT,1,2,30308,30335,27,0.46,,
Apis cerana cerana,Colony_3,100,PT,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,PT,1,3,30537,30570,33,0.56,,
Apis cerana cerana,Colony_3,100,PT,1,4,30638,30650,12,0.2,,
Apis cerana cerana,Colony_3,100,PT,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,PT,1,5,30825,30849,24,0.41,,
Apis cerana cerana,Colony_3,100,PT,1,6,30902,30919,17,0.29,,
Apis cerana cerana,Colony_3,100,PT,1,7,30983,31002,19,0.32,,
Apis cerana cerana,Colony_3,100,PT,1,8,31059,31074,15,0.25,,
Apis cerana cerana,Colony_3,100,PT,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,PT,1,9,31199,31208,9,0.15,,
Apis cerana cerana,Colony_3,100,PT,1,10,31299,31315,16,0.27,,
Apis cerana cerana,Colony_3,100,PT,2,1,37275,37301,26,0.44,18.14285714,0.307506053
Apis cerana cerana,Colony_3,100,PT,2,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,PT,2,2,37474,37484,10,0.17,,
Apis cerana cerana,Colony_3,100,PT,2,3,37563,37580,17,0.29,,
Apis cerana cerana,Colony_3,100,PT,2,4,37647,37662,15,0.25,,
Apis cerana cerana,Colony_3,100,PT,2,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_3,100,PT,2,5,801,828,27,0.46,,
Apis cerana cerana,Colony_3,100,PT,2,6,897,917,20,0.34,,
Apis cerana cerana,Colony_3,100,PT,2,7,1023,1035,12,0.2,,
Apis cerana cerana,Colony_3,100,RR,1,1,20408,20433,25,0.42,21.91666667,0.371468926
Apis cerana cerana,Colony_3,100,RR,1,2,20507,20518,11,0.19,,
Apis cerana cerana,Colony_3,100,RR,1,3,20600,20621,21,0.36,,
Apis cerana cerana,Colony_3,100,RR,1,4,20705,20732,27,0.46,,
Apis cerana cerana,Colony_3,100,RR,1,5,20795,20817,22,0.37,,
Apis cerana cerana,Colony_3,100,RR,1,6,20882,20901,19,0.32,,
Apis cerana cerana,Colony_3,100,RR,1,7,20997,21015,18,0.31,,
Apis cerana cerana,Colony_3,100,RR,1,8,21093,21130,37,0.63,,
Apis cerana cerana,Colony_3,100,RR,1,9,23133,23156,23,0.39,,
Apis cerana cerana,Colony_3,100,RR,1,10,23301,23322,21,0.36,,
Apis cerana cerana,Colony_3,100,RR,1,11,23404,23423,19,0.32,,
Apis cerana cerana,Colony_3,100,RR,1,12,23495,23515,20,0.34,,
Apis cerana cerana,Colony_3,100,RR,2,1,37163,37181,18,0.31,20.5,0.347457626
Apis cerana cerana,Colony_3,100,RR,2,2,37321,37349,28,0.47,,
Apis cerana cerana,Colony_3,100,RR,2,3,37420,37440,20,0.34,,
Apis cerana cerana,Colony_3,100,RR,2,4,37518,37538,20,0.34,,
Apis cerana cerana,Colony_3,100,RR,2,5,37616,37633,17,0.29,,
Apis cerana cerana,Colony_3,100,RR,2,6,37694,37713,19,0.32,,
Apis cerana cerana,Colony_3,100,RR,2,7,38054,38067,13,0.22,,
