Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana kashmirensis,Colony_3,50,FG_,1,1,24128,24148,20,0.33898305,20.06666667,0.34013
Apis cerana kashmirensis,Colony_3,50,FG_,1,2,24852,24875,23,0.389830508,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,3,25144,25166,22,0.372881355,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,4,25226,25236,10,0.169491525,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,5,25370,25388,18,0.305084745,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,6,25443,25478,35,0.593220338,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,7,25544,25563,19,0.322033898,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,8,25690,25716,26,0.440677965,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,9,26114,26132,18,0.305084745,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,10,26226,26238,12,0.20338983,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,11,26352,26372,20,0.33898305,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,12,26434,26455,21,0.355932203,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,13,26500,26512,12,0.20338983,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,14,26568,26585,17,0.288135593,,
Apis cerana kashmirensis,Colony_3,50,FG_,1,15,26654,26682,28,0.47457627,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,1,2436,2466,30,0.508474575,22.5,0.381375
Apis cerana kashmirensis,Colony_3,50,RWT,1,2,2608,2634,26,0.440677965,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,3,2868,2895,27,0.457627118,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,4,3590,3604,14,0.237288135,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,5,3664,3698,34,0.576271185,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,6,3748,3776,28,0.47457627,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,7,3984,3997,13,0.220338983,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,8,4054,4081,27,0.457627118,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,9,4132,4152,20,0.33898305,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,10,4242,4260,18,0.305084745,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,11,4314,4334,20,0.33898305,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,12,4402,4431,29,0.491525423,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,13,4500,4518,18,0.305084745,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,14,4592,4618,26,0.440677965,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,15,4674,4696,22,0.372881355,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,16,4744,4763,19,0.322033898,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,17,4816,4832,16,0.27118644,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,18,4900,4936,36,0.61016949,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,19,4998,5028,30,0.508474575,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,20,5082,5100,18,0.305084745,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,21,5156,5177,21,0.355932203,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,22,5238,5269,31,0.525423728,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,23,5348,5361,13,0.220338983,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,24,5658,5679,21,0.355932203,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,25,5736,5765,29,0.491525423,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,26,5816,5832,16,0.27118644,,
Apis cerana kashmirensis,Colony_3,50,RWT,1,NA,NA,NA,NA,NA,,
