Id,Lineage,CV1,CV2,CV3
Acc_B_c1_1,A.c.cerana (Bangalore),-0.288095882,1.17932702,0.976170648
Acc_B_c1_10,A.c.cerana (Bangalore),-2.288363215,-2.382148531,2.120275827
Acc_B_c1_2,A.c.cerana (Bangalore),-2.409185486,0.415438731,2.731400909
Acc_B_c1_3,A.c.cerana (Bangalore),0.07445427,-1.112273347,1.841754646
Acc_B_c1_4,A.c.cerana (Bangalore),-2.076804145,-1.873604501,1.270532467
Acc_B_c1_5,A.c.cerana (Bangalore),-1.913649026,-3.298172041,2.474735124
Acc_B_c1_6,A.c.cerana (Bangalore),-2.577787818,-1.078049607,2.938721166
Acc_B_c1_7,A.c.cerana (Bangalore),-1.252223782,-0.983532391,1.381508295
Acc_B_c1_8,A.c.cerana (Bangalore),-0.935326688,0.545875017,2.057729244
Acc_B_c1_9,A.c.cerana (Bangalore),-1.372295623,0.622434927,2.278679529
Acc_B_c2_1,A.c.cerana (Bangalore),-0.284922476,-2.112065204,3.682537751
Acc_B_c2_10,A.c.cerana (Bangalore),-1.795629912,-2.167075089,0.918913517
Acc_B_c2_2,A.c.cerana (Bangalore),0.78895405,-1.891142357,0.808845425
Acc_B_c2_3,A.c.cerana (Bangalore),-1.900041939,-1.407880928,1.509899735
Acc_B_c2_4,A.c.cerana (Bangalore),-1.917985912,-0.914273266,2.394928953
Acc_B_c2_5,A.c.cerana (Bangalore),-0.946507245,-1.106805887,3.53939792
Acc_B_c2_6,A.c.cerana (Bangalore),0.479541662,-1.839329712,1.70382257
Acc_B_c2_7,A.c.cerana (Bangalore),-3.500939832,-0.489462659,2.39830778
Acc_B_c2_8,A.c.cerana (Bangalore),0.288872523,-0.78260736,-0.366910035
Acc_B_c2_9,A.c.cerana (Bangalore),-1.221657785,-0.229490898,3.492753526
Acc_B_c3_1,A.c.cerana (Bangalore),-2.888902386,-0.482834974,0.136165901
Acc_B_c3_10,A.c.cerana (Bangalore),-1.913149604,-1.40032873,2.750260352
Acc_B_c3_2,A.c.cerana (Bangalore),-0.826645403,-1.427600803,0.169766236
Acc_B_c3_3,A.c.cerana (Bangalore),0.402970227,-1.095491767,2.528785712
Acc_B_c3_4,A.c.cerana (Bangalore),-0.641495674,0.030457702,0.819299258
Acc_B_c3_5,A.c.cerana (Bangalore),-1.816817406,-1.385403991,1.283402797
Acc_B_c3_6,A.c.cerana (Bangalore),-0.523353256,1.059647058,2.146643848
Acc_B_c3_7,A.c.cerana (Bangalore),-0.973927183,-1.20720304,0.362462304
Acc_B_c3_8,A.c.cerana (Bangalore),-2.714061254,-0.582493379,1.475250229
Acc_B_c3_9,A.c.cerana (Bangalore),-1.140257372,-0.359485838,0.815361134
Acc_HP_c1_1,A.c.cerana (Kullu),-3.271657407,-3.408664036,-3.037858619
Acc_HP_c1_10,A.c.cerana (Kullu),-2.851707845,-0.216504175,-0.240121747
Acc_B_c1_2,A.c.cerana (Kullu),-2.728698995,-0.548825697,-2.665640938
Acc_HP_c1_3,A.c.cerana (Kullu),-3.236888684,-1.672670864,-1.40450798
Acc_HP_c1_4,A.c.cerana (Kullu),-2.767180616,-2.315568264,-0.857343315
Acc_HP_c1_5,A.c.cerana (Kullu),-2.402396974,-3.055895091,-1.584835214
Acc_HP_c1_6,A.c.cerana (Kullu),-1.939430017,-4.356185968,-1.537245513
Acc_HP_c1_7,A.c.cerana (Kullu),-2.36726815,-2.965181585,-3.090292428
Acc_HP_c1_8,A.c.cerana (Kullu),-2.889930965,-0.865049547,-0.610133337
Acc_HP_c1_9,A.c.cerana (Kullu),-1.579953824,-2.399695046,-0.573453468
Acc_HP_c2_1,A.c.cerana (Kullu),-4.045939119,-1.82816763,-1.132563052
Acc_HP_c2_10,A.c.cerana (Kullu),-3.312099164,-2.021974131,-2.523983769
Acc_HP_c2_2,A.c.cerana (Kullu),-2.308236575,-2.98556689,-0.744568893
Acc_HP_c2_3,A.c.cerana (Kullu),-3.359071978,-1.304032287,-2.085462319
Acc_HP_c2_4,A.c.cerana (Kullu),-4.819020839,-2.949581409,-2.973427681
Acc_HP_c2-5,A.c.cerana (Kullu),-2.94913791,-2.980961768,-1.136282072
Acc_HP_c2_6,A.c.cerana (Kullu),-4.586799135,-0.720848147,-2.963752272
Acc_HP_c2_7,A.c.cerana (Kullu),-3.068504486,-1.666633229,-2.480016803
Acc_HP_c2_8,A.c.cerana (Kullu),-2.646703653,-0.745063578,-1.230780597
Acc_HP_c2_9,A.c.cerana (Kullu),-1.761506785,-1.549424222,-2.449090056
Aci_B_c1_1,A.indica,8.555730863,-0.272695664,-0.045062142
Acc_B_c1_10,A.indica,8.416026657,0.272089631,0.405922612
Aci_B_c1_2,A.indica,9.180644387,0.462779096,-0.497621984
Aci_B_c1_3,A.indica,7.910260987,-0.141776012,-0.962067995
Aci_B_c1_4,A.indica,8.227619904,-0.81158786,-0.570657709
Aci_B_c1_5,A.indica,8.96231354,1.75699881,-0.05764881
Aci_B_c1_6,A.indica,8.825262924,-0.507520806,-1.903430758
Aci_B_c1_7,A.indica,7.287711081,-0.5965143,-0.097617321
Aci_B_c1_8,A.indica,9.33064257,-0.852792422,-1.204417624
Aci_B_c1_9,A.indica,9.010869276,0.725742034,0.322717628
Aci_B_c2_1,A.indica,6.944935226,0.018894302,-1.131860562
Aci_B_c2_10,A.indica,9.114966758,0.214702806,0.633089256
Aci_B_c2_2,A.indica,6.339874586,-0.008506278,-0.401871691
Aci_B_c2_3,A.indica,7.381746811,1.063788696,-0.724415297
Aci_B_c2_4,A.indica,7.109857347,-0.548262601,-1.638826164
Aci_B_c2_5,A.indica,9.676739771,-0.667888225,-0.421997857
Aci_B_c2_6,A.indica,9.538602364,0.644751939,-1.358326991
Aci_B_c2_7,A.indica,9.792211277,-0.837497217,1.35363754
Aci_B_c2_8,A.indica,7.611007734,-0.133336397,-0.012629905
Aci_B_c2_9,A.indica,8.71258269,0.860201729,1.051864183
Ack_c1_1,A.c.kashmirensis,-3.923742672,0.86193479,0.633575803
Ack_c1_10,A.c.kashmirensis,-2.571691753,1.427482999,-1.312219458
Ack_c1_2,A.c.kashmirensis,-2.967111796,3.42518388,1.256568242
Ack_c1_3,A.c.kashmirensis,-3.478844769,2.777073174,1.813046983
Ack_c1_4,A.c.kashmirensis,-1.659030221,1.514137771,-0.279023614
Ack_c1_5,A.c.kashmirensis,-1.736334505,3.477965526,-0.302618508
Ack_c1_6,A.c.kashmirensis,-2.108633492,3.849534376,-0.313108846
Ack_c1_7,A.c.kashmirensis,-3.38442886,2.374012756,1.224816607
Ack_c1_8,A.c.kashmirensis,-1.289860524,3.910202977,-0.535293599
Ack_c1_9,A.c.kashmirensis,-1.54019889,3.262804135,-1.859012039
Ack_c2_1,A.c.kashmirensis,-2.923985828,2.129346817,-1.280476974
Ack_c2_10,A.c.kashmirensis,-0.863353868,1.021252901,-0.739503551
Ack_c2_2,A.c.kashmirensis,-1.474338446,3.852090074,-1.81114652
Ack_c2_3,A.c.kashmirensis,-4.125204734,0.778537092,-1.275581105
Ack_c2_4,A.c.kashmirensis,-1.625001958,2.849392326,-1.356202084
Ack_c2_5,A.c.kashmirensis,-0.808228304,1.681730608,0.649710011
Ack_c2_6,A.c.kashmirensis,-1.582682161,1.710933298,-0.407152281
Ack_c2_7,A.c.kashmirensis,-1.676395661,0.963603162,-0.813700237
Ack_c2_8,A.c.kashmirensis,-4.277811182,3.392867997,-0.37391165
Ack_c2_9,A.c.kashmirensis,-3.421865119,3.906010228,-1.936334768
Ack_c3_1,A.c.kashmirensis,-3.151779844,0.890429295,1.243246299
Ack_c3_10,A.c.kashmirensis,-2.203493073,2.611525265,-1.236017224
Ack_c3_2,A.c.kashmirensis,-1.594458821,1.937135388,0.522807569
Ack_c3_3,A.c.kashmirensis,-3.829022621,2.164917089,-0.269819574
Ack_c3_4,A.c.kashmirensis,-2.29122237,1.284348614,-1.180535632
Ack_c3_5,A.c.kashmirensis,-2.881082123,2.264414945,-0.6325127
Ack_c3_6,A.c.kashmirensis,-1.432454429,1.978344564,-1.179045057
Ack_c3_7,A.c.kashmirensis,-1.41684708,2.917536834,1.683933886
Ack_c3_8,A.c.kashmirensis,-1.8252947,1.50379595,0.062774861
Ack_c3_9,A.c.kashmirensis,-2.887840254,0.951953319,-0.056085945
