Id,Lineage,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
Acc_B_c1_1,Apis cerana cerana Bangalore,0.006474611,0.001584285,0.007307944,-0.003951131,-0.005207169,-0.002005236,-0.00522327,0.003102621,-0.008170288,-8.99E-04,-4.87E-04,0.005807109,0.001689821,0.004347035,0.002235021,-9.52E-04,0.002173815,-0.001244648,-0.00121697,6.66266540333942E-4,-1.42E-04,-2.61E-04,6.115890630675003E-4,-0.001680514,-1.93E-04,-6.79E-04,-0.001436462,0.002150913,-7.62E-04,0.001119427,4.4328251798037954E-4,-7.77E-05,-4.43E-04,4.7280351598633335E-4,1.2071501812360751E-4,-6.53E-04
Acc_B_c1_10,Apis cerana cerana Bangalore,0.008715926,0.004966113,0.007753499,-0.001653247,0.002388753,0.006038211,-0.001439367,-0.006669883,-0.001061732,-0.007575181,-0.006997373,-2.57E-04,0.001009525,0.002343551,7.808583933763644E-4,0.005547584,-6.43E-04,-1.64E-04,-0.001165941,-9.17E-04,4.4312138907905726E-4,-0.004828306,4.0247228168600207E-4,-3.54E-04,-2.86E-04,-0.002702781,3.963590510021887E-4,-0.001717599,-0.002036291,8.286290397994912E-4,0.001183705,1.0525573162414362E-5,2.1072798709770047E-4,3.7064080356207765E-4,-1.40E-05,-1.70E-04
Acc_B_c1_2,Apis cerana cerana Bangalore,0.007365646,0.023629238,0.00573925,0.010986950662235661,-2.56E-05,-0.003342731,0.003341786,0.004292568,-0.006677836,0.005660984,8.72051111475216E-4,-0.001291913,-0.003247943,-0.005326059,-0.004280069,-0.002094021,1.7108177316488065E-4,-0.002833134,-0.003947512,-5.06E-04,-5.79E-04,4.874583238254021E-4,-0.002286301,2.077470974400416E-4,3.300315739135271E-4,-0.002196088,-6.18E-04,1.2023638727035317E-4,-0.001549758,0.001315194,1.4252731122264752E-4,9.661094280158405E-5,-0.001362437,6.862743528357799E-5,-0.001019298,-7.98E-04
Acc_B_c1_3,Apis cerana cerana Bangalore,-0.003582581,0.00733171,0.00674672,-7.92E-04,-0.005407888,2.66282376620982E-4,0.007260949,0.0058525,4.3597098621572805E-4,-0.002053447,-7.48E-04,-0.004378211,0.006183709,-0.005845451,8.165226902941299E-4,-0.00112488,-8.74E-04,3.741820085307968E-6,0.003743177,-0.002050046,-9.16E-04,-2.69E-04,0.001479867,-0.003170101,8.338314206945292E-4,-6.92E-04,1.7683672057594406E-4,-2.15E-04,-8.64E-05,3.798854029100811E-4,6.55236390545282E-4,-1.29E-04,3.9246836500012944E-4,-7.91E-04,-6.57E-04,0.001394043
Acc_B_c1_4,Apis cerana cerana Bangalore,-0.002149231,0.004644569,-0.003737164,-0.001902993,-0.005532203,-0.003281935,0.007611157,-0.003933569,0.007056882,-0.003843067,0.002908502,-0.002282318,0.003971197,-0.004225515,4.284145736942621E-4,6.004411593555671E-4,0.002706223,-0.00425549,0.001867219,0.00104601,-0.00131513,-0.003729651,-9.65E-04,0.002274828,-1.27E-04,-0.002790277,0.001804345,0.001245248,-0.001280426,-1.71E-04,-5.14E-05,0.001147409,7.622499388194382E-4,4.4275577438874624E-4,5.849573622016673E-5,-0.001678285
Acc_B_c1_5,Apis cerana cerana Bangalore,0.004972948,0.007637598,0.008978184,3.475594236059064E-4,0.002018825,0.006512492,0.00527938,0.004393605,-5.91E-04,-0.001135037,-1.08E-04,-2.19E-04,0.00541218,0.002058909,0.001657073,0.00162471,-0.004434024,0.001716429,-0.001134015,-1.68E-04,-0.00236549,3.0774686080778724E-5,-0.00193414,-3.64E-04,-0.001475458,-0.002148365,7.738794098489819E-4,-0.001539367,-0.002181539,0.001091047,0.001263003,6.079541633934648E-4,-4.96E-04,-1.40E-04,-5.94E-04,-8.03E-04
Acc_B_c1_6,Apis cerana cerana Bangalore,-0.011039029,0.021040869,0.001178937,-0.003385033,0.011915937,9.391243759331833E-4,0.005601883,0.002569522,-0.001243863,-0.004446431,-0.002593777,-0.00221188,0.00473982,-0.003714571,-0.004949779,0.006181874,-0.005590509,-0.001703559,0.001646575,0.002093008,0.001907877,-0.002302918,-0.002673979,-9.18E-04,5.585217161125419E-4,-8.68E-04,-5.43E-04,0.001111904,-6.49E-04,1.2525288357268178E-6,0.002657248,0.001077354,-0.001049826,-3.33E-05,4.318417567217177E-4,3.591005892159757E-4
Acc_B_c1_7,Apis cerana cerana Bangalore,0.004423059,0.011672117382620749,0.005882449,0.004834232,-7.21E-04,0.005162962,0.00599163,8.191568441040605E-4,5.820375922769532E-4,-0.00211044,-0.003401781,-0.004041739,0.004652027,0.002418634,-0.003458503,-0.00165377,0.001943351,-0.002141906,-0.001001534,0.004095189,-9.81E-04,4.1463741656618555E-4,9.22785797667564E-4,-2.05E-04,-0.002838985,-1.21E-04,0.001700803,-0.00130839,-2.51E-04,9.208244240749669E-4,2.48817951725302E-4,4.851454470481201E-4,2.2563768194839228E-4,2.1017644300316027E-5,-2.91E-04,7.511983200762806E-5
Acc_B_c1_8,Apis cerana cerana Bangalore,0.008212037,0.018225179966691527,0.014841720010972954,0.003302609,-0.004548212,-0.010517144,0.004676613,-0.004802532,-0.00185749,4.065880891757946E-5,-0.003112543,0.002175811,0.005019945,-7.34E-04,-0.0025818,-0.001481804,5.225995305257027E-5,-0.00174915,4.818100107418263E-5,-1.41E-04,-6.94E-05,1.9697719980070352E-4,-7.85E-04,6.295142031889241E-4,-9.14E-04,-9.34E-04,-5.69E-05,-0.001658253,0.001033683,2.1348517258968784E-4,1.7396392513887215E-4,1.6275160612233149E-4,5.138585920413563E-4,7.364035224598438E-4,-6.60E-04,-3.65E-05
Acc_B_c1_9,Apis cerana cerana Bangalore,0.01960071,0.011457361,0.020004757353209692,0.003258255,0.00208972,-0.004816449,0.007900942,-0.005839248,0.002537701,-0.002037221,-0.006350335,-0.002106351,-0.002002158,-0.001020942,0.001518852,-0.00429509,3.4300107991749667E-4,2.54253302479663E-4,-8.44E-04,-0.001471295,0.00207584,-0.001420726,0.001637037,9.234308474439807E-4,-0.001955642,-6.60E-04,-0.00153827,2.756935032359283E-4,-0.001398186,1.582805403209023E-5,-8.72E-05,3.1161870901142566E-5,-1.50E-04,-3.89E-05,3.0425589537637625E-4,-3.59E-04
Acc_B_c2_1,Apis cerana cerana Bangalore,0.007429606,-0.004882998,0.007769313,-0.009577696,-0.009234786,0.001735853,1.0959338734967139E-4,0.003557289,-1.03E-04,0.004519047,0.004863313,-0.004812168,-0.001530443,-0.006107513,0.001070138,0.001042237,-0.00153164,3.7166589312655923E-4,-0.002956467,-3.93E-04,0.002243296,-0.001894446,-9.23E-04,0.002773461,-0.002173887,-0.002603235,9.759398390540605E-4,0.001499487,2.795465216806097E-4,0.001199851,0.002603651,5.81127461597036E-4,-8.95E-04,-1.43E-04,9.838980849265157E-5,1.1459038375707736E-5
Acc_B_c2_10,Apis cerana cerana Bangalore,-0.004586805,0.003761012,-0.001826872,-0.006353663,-0.005984147,0.00428222,0.009794028,-9.89E-04,0.008656104,-0.001662143,0.004156381,3.2984786935275545E-4,3.3125327736912094E-4,-0.004069709,-3.36E-04,0.003168854,0.002238246,0.003897433,-0.001007332,0.001315371,0.003128131,5.975067350811824E-4,-2.37E-05,1.9624902460292203E-4,-0.001332963,-0.001792619,-4.03E-04,-7.48E-04,-0.002186314,7.14472871095455E-4,6.936172890900714E-5,3.499072360986413E-4,-0.001171907,0.001032721,3.9394320700508127E-4,7.330353431473119E-4
Acc_B_c2_2,Apis cerana cerana Bangalore,0.004184431,-0.010321071,0.00871802,-0.002412675,-0.003909022,-0.004082426,0.005052702,5.974201579361268E-4,8.810923258451086E-4,0.002088209,0.001426355,0.002496305,-0.001407538,0.002303449,0.002562271,8.15596762216052E-4,-0.002640222,8.032944877560276E-4,6.191123372358727E-4,-0.00158285,-0.002112856,-0.00102323,-0.00286099,-4.03E-04,6.742029863222366E-4,0.001380228,4.745008461456573E-4,-0.001675256,-2.72E-04,0.001386376,-6.86E-05,0.002075831,-5.31E-04,-1.55E-04,4.387393245141339E-4,0.00126483
Acc_B_c2_3,Apis cerana cerana Bangalore,-0.00538175,0.001590845,-0.003246397,-0.002083512,-0.011685582,-0.003362599,0.004541653,-0.001136522,0.006027945,0.005610811,-0.001772799,-2.67E-04,-0.002784496,-0.003786729,0.001832074,0.002972393,-0.002353682,2.132341562858725E-5,0.001040777,7.249942592280073E-4,-0.001177749,-0.001389797,-0.001004372,-0.001446461,-0.001438518,-6.93E-05,6.780385076425146E-4,-0.001412116,-9.02E-04,-7.60E-05,8.841607199097603E-4,-5.19E-04,-0.001819258,-9.99E-04,2.428126882636793E-5,-0.00107157
Acc_B_c2_4,Apis cerana cerana Bangalore,-0.00215886,-0.003021186,0.007714479,3.8992305760774575E-4,-0.008435336,-0.002442313,-0.003496445,0.007277391,0.003012982,0.001214236,-0.001458511,-0.004494616,0.00241382,-0.005799776,-0.006477513,-0.001810817,1.1512357636697017E-4,0.002702782,0.003644978,0.001671984,-0.001253812,-0.001749124,0.001805581,2.655184227430172E-4,7.798413120719769E-4,-0.001609706,6.563513689746154E-4,2.5802039700203343E-4,-3.69E-04,0.002050538,-3.56E-04,4.312327728331082E-4,-0.002084708,3.029907237692517E-4,2.149273363686665E-4,-7.47E-04
Acc_B_c2_5,Apis cerana cerana Bangalore,0.007892492,-0.01572947,0.008987056,-0.002525288,-0.00854891,-0.005742742,-5.19E-04,-7.38E-04,-0.001385282,0.001203298,-0.005443959,-3.50E-05,-2.96E-04,0.001504801,6.628550208855877E-4,0.002979591,-0.002981427,-7.54E-04,-9.54E-04,0.001317889,-0.003349623,-0.001392689,-5.43E-04,-0.001472511,2.3070593984253962E-4,-0.002762959,-0.001472192,-4.99E-04,-5.95E-04,0.001161176,0.001196396,3.90191140147513E-4,-3.77E-04,-2.79E-04,1.8434354309475486E-4,-4.66E-04
