lineage,location,colonyID,beeID,hamuli,lfw,wfw,cub1,cub2,ci,a4,b4,d7,e9,g18,j10,j16,k19,l13,n23,o26,id
Apis cerana indica (Bangalore),Bangalore,1,1,19,7.517,2.754,0.433,0.144,3.006944444,32.662,110.946,103.426,21.608,88.684,46.477,96.639,76.352,15.373,78.699,30.175,2.369
Apis cerana indica (Bangalore),Bangalore,1,2,19,7.449,2.669,0.483,0.148,3.263513514,30.169,106.175,93.535,20.914,92.318,48.877,110.225,72.302,14.861,83.909,35.727,2.369
Apis cerana indica (Bangalore),Bangalore,1,3,19,7.604,2.757,0.476,0.144,3.305555556,31.596,108.125,96.783,21.395,91.883,43.215,101.82,74.973,13.089,79.544,36.039,2.328
Apis cerana indica (Bangalore),Bangalore,1,4,20,7.586,2.737,0.46,0.162,2.839506173,32.991,102.705,96.808,17.673,89.823,43.067,104.272,75.342,13.829,80.91,34.756,2.352
Apis cerana indica (Bangalore),Bangalore,1,5,20,7.403,2.658,0.474,0.12,3.95,31.465,107.722,92.26,18.499,86.464,45.612,103.633,76.439,14.339,81.773,36.716,2.335
Apis cerana indica (Bangalore),Bangalore,1,6,19,7.378,2.658,0.451,0.153,2.947712418,32.471,100.392,94.655,18.642,85.15,49.838,105.783,69.51,12.717,83.413,36.614,2.359
Apis cerana indica (Bangalore),Bangalore,1,7,20,7.574,2.76,0.435,0.141,3.085106383,31.422,106.099,93.091,19.62,87.764,47.397,98.998,75.893,14.288,80.396,34.687,2.349
Apis cerana indica (Bangalore),Bangalore,1,8,21,7.53,2.686,0.439,0.171,2.567251462,30.231,112.126,100.825,22.18,82.926,40.78,104.633,71.05,13.601,74.37,32.414,2.427
Apis cerana indica (Bangalore),Bangalore,1,9,18,7.462,2.665,0.465,0.153,3.039215686,31.053,103.382,96.245,19.539,86.511,44.009,99.436,72.029,12.628,82.221,34.234,2.422
Apis cerana indica (Bangalore),Bangalore,1,10,19,7.589,2.719,0.458,0.153,2.993464052,31.775,103.263,99.29,16.958,90.568,52.2,102.45,75.214,14.294,83.341,33.901,2.356
Apis cerana indica (Bangalore),Bangalore,2,1,17,7.539,2.681,0.463,0.127,3.645669291,31.287,110.525,95.863,18.272,84.421,41.757,100.981,71.232,14.778,73.683,33.121,2.496
Apis cerana indica (Bangalore),Bangalore,2,2,20,7.732,2.779,0.474,0.127,3.732283465,33.219,108.8,99.126,19.154,88.279,40.601,97.983,76.223,12.392,76.478,31.535,2.49
Apis cerana indica (Bangalore),Bangalore,2,3,17,7.653,2.721,0.519,0.111,4.675675676,27.554,108.245,95.124,18.435,85.426,40.318,104.237,79.185,15,83.64,34.446,2.452
Apis cerana indica (Bangalore),Bangalore,2,4,20,7.418,2.633,0.46,0.144,3.194444444,29.296,111.237,97.751,19.316,79.806,42.07,101.61,71.087,11.231,82.025,36.925,2.282
Apis cerana indica (Bangalore),Bangalore,2,5,18,7.767,2.716,0.5,0.144,3.472222222,33.329,102.503,90.452,17.425,83.928,41.82,100.905,73.296,16.437,76.548,28.951,2.417
Apis cerana indica (Bangalore),Bangalore,2,6,20,7.556,2.738,0.418,0.132,3.166666667,30.317,117.422,101.728,20.627,81.511,40.927,101.813,70.238,12.625,69.033,29.518,2.457
Apis cerana indica (Bangalore),Bangalore,2,7,16,7.685,2.706,0.5,0.127,3.937007874,29.423,107.24,96.536,19.691,84.014,39.249,100.33,70.538,12.771,76.858,31.672,2.427
Apis cerana indica (Bangalore),Bangalore,2,8,19,7.656,2.695,0.504,0.119,4.235294118,31.759,106.504,92.126,17.111,81.325,43.603,108.172,73.544,13.736,87.857,38.915,2.383
Apis cerana indica (Bangalore),Bangalore,2,9,19,7.519,2.743,0.482,0.136,3.544117647,32.283,110.188,98.14,19.768,85.236,42.823,103.185,71.618,13.161,79.787,35.939,2.398
Apis cerana indica (Bangalore),Bangalore,2,10,19,7.634,2.718,0.522,0.119,4.386554622,28.324,111.823,94.163,20.178,82.834,39.465,100.387,72.737,12.614,77.61,34.563,2.408
Apis cerana cerana (Bangalore),Bangalore,1,1,18,8.317,2.941,0.539,0.093,5.795698925,30.433,115.212,95.654,20.568,90.455,42.169,105.501,80.63,14.485,89.514,34.756,2.743
Apis cerana cerana (Bangalore),Bangalore,1,2,18,8.22,3.022,0.593,0.153,3.875816993,25.527,118.713,81.587,20.357,85.718,42.286,103.548,80.277,13.827,81.663,33.899,2.715
